grid,skyvector-url,lsalt-100ft
"[[153.0,-29.0],[153.5,-29.0],[153.5,-28.5],[153.0,-28.5],[153.0,-29.0]]",https://skyvector.com/?fpl=2900S15300E%202900S15330E%202830S15330E%202830S15300E%202900S15300E,40
"[[153.0,-28.5],[153.5,-28.5],[153.5,-28.0],[153.0,-28.0],[153.0,-28.5]]",https://skyvector.com/?fpl=2830S15300E%202830S15330E%202800S15330E%202800S15300E%202830S15300E,49
"[[153.5,-29.0],[154.0,-29.0],[154.0,-28.5],[153.5,-28.5],[153.5,-29.0]]",https://skyvector.com/?fpl=2900S15330E%202900S15400E%202830S15400E%202830S15330E%202900S15330E,16
"[[153.5,-28.5],[154.0,-28.5],[154.0,-28.0],[153.5,-28.0],[153.5,-28.5]]",https://skyvector.com/?fpl=2830S15330E%202830S15400E%202800S15400E%202800S15330E%202830S15330E,16
"[[153.0,-30.0],[153.5,-30.0],[153.5,-29.5],[153.0,-29.5],[153.0,-30.0]]",https://skyvector.com/?fpl=3000S15300E%203000S15330E%202930S15330E%202930S15300E%203000S15300E,21
"[[153.0,-29.5],[153.5,-29.5],[153.5,-29.0],[153.0,-29.0],[153.0,-29.5]]",https://skyvector.com/?fpl=2930S15300E%202930S15330E%202900S15330E%202900S15300E%202930S15300E,19
"[[151.0,-34.0],[151.5,-34.0],[151.5,-33.5],[151.0,-33.5],[151.0,-34.0]]",https://skyvector.com/?fpl=3400S15100E%203400S15130E%203330S15130E%203330S15100E%203400S15100E,19
"[[151.0,-33.5],[151.5,-33.5],[151.5,-33.0],[151.0,-33.0],[151.0,-33.5]]",https://skyvector.com/?fpl=3330S15100E%203330S15130E%203300S15130E%203300S15100E%203330S15100E,31
"[[151.5,-33.5],[152.0,-33.5],[152.0,-33.0],[151.5,-33.0],[151.5,-33.5]]",https://skyvector.com/?fpl=3330S15130E%203330S15200E%203300S15200E%203300S15130E%203330S15130E,14
"[[150.0,-34.0],[150.5,-34.0],[150.5,-33.5],[150.0,-33.5],[150.0,-34.0]]",https://skyvector.com/?fpl=3400S15000E%203400S15030E%203330S15030E%203330S15000E%203400S15000E,55
"[[150.0,-33.5],[150.5,-33.5],[150.5,-33.0],[150.0,-33.0],[150.0,-33.5]]",https://skyvector.com/?fpl=3330S15000E%203330S15030E%203300S15030E%203300S15000E%203330S15000E,50
"[[150.5,-34.0],[151.0,-34.0],[151.0,-33.5],[150.5,-33.5],[150.5,-34.0]]",https://skyvector.com/?fpl=3400S15030E%203400S15100E%203330S15100E%203330S15030E%203400S15030E,31
"[[150.5,-33.5],[151.0,-33.5],[151.0,-33.0],[150.5,-33.0],[150.5,-33.5]]",https://skyvector.com/?fpl=3330S15030E%203330S15100E%203300S15100E%203300S15030E%203330S15030E,36
"[[150.0,-35.0],[150.5,-35.0],[150.5,-34.5],[150.0,-34.5],[150.0,-35.0]]",https://skyvector.com/?fpl=3500S15000E%203500S15030E%203430S15030E%203430S15000E%203500S15000E,37
"[[150.0,-34.5],[150.5,-34.5],[150.5,-34.0],[150.0,-34.0],[150.0,-34.5]]",https://skyvector.com/?fpl=3430S15000E%203430S15030E%203400S15030E%203400S15000E%203430S15000E,50
"[[150.5,-35.0],[151.0,-35.0],[151.0,-34.5],[150.5,-34.5],[150.5,-35.0]]",https://skyvector.com/?fpl=3500S15030E%203500S15100E%203430S15100E%203430S15030E%203500S15030E,38
"[[150.5,-34.5],[151.0,-34.5],[151.0,-34.0],[150.5,-34.0],[150.5,-34.5]]",https://skyvector.com/?fpl=3430S15030E%203430S15100E%203400S15100E%203400S15030E%203430S15030E,36
